NUM_CPT,CODE_COMMUNE,CODE_SECTEUR,VILLE,CONSO_1,CONSO_0,PROFIL
ZZ745619180,2,2,ARCACHON,58,64,1 - SEGMENT P
ZZ88BA027542,2,2,ARCACHON,109,115,1 - SEGMENT P
ZZ730075720,2,2,ARCACHON,88,141,1 - SEGMENT P
98AA043283,2,2,ARCACHON,23,11,1 - SEGMENT P
ZZ93234160,2,3,ARCACHON,97,81,1 - SEGMENT P
ZZ91PA251114,2,3,ARCACHON,10,7,1 - SEGMENT P
ZZ90PA218015,2,3,ARCACHON,58,74,1 - SEGMENT P
ZZ93PA208622,2,3,ARCACHON,14,18,1 - SEGMENT P
05XA632810,2,3,ARCACHON,76,66,1 - SEGMENT P
ZZ91331409,2,3,ARCACHON,40,38,1 - SEGMENT P
01GA201364,2,3,ARCACHON,25,37,1 - SEGMENT P
05XA226699,2,3,ARCACHON,123,105,1 - SEGMENT P
05XA253634,2,3,ARCACHON,0,40,1 - SEGMENT P
ZZ88BA027595,2,3,ARCACHON,17,15,1 - SEGMENT P
ZZ86215932,2,3,ARCACHON,34,19,1 - SEGMENT P
ZZ86215931,2,3,ARCACHON,8,5,1 - SEGMENT P
ZZ88BA079183,2,3,ARCACHON,69,26,1 - SEGMENT P
05AA001594,2,3,ARCACHON,0,2,1 - SEGMENT P
ZZ88BA079184,3,3,LA TESTE,22,16,1 - SEGMENT P
97AB009856,2,3,ARCACHON,4,6,1 - SEGMENT P
ZZ82127232,2,3,ARCACHON,80,82,1 - SEGMENT P
ZZ93PA266389,2,3,ARCACHON,141,176,1 - SEGMENT P
ZZ8131250,2,3,ARCACHON,144,113,1 - SEGMENT P
05XA613446,2,3,ARCACHON,103,82,1 - SEGMENT P
ZZ78023252,2,3,ARCACHON,38,38,1 - SEGMENT P
ZZ745619700,2,3,ARCACHON,110,117,1 - SEGMENT P
04XA329121,2,3,ARCACHON,7,18,1 - SEGMENT P
04AB377848,2,3,ARCACHON,107,125,1 - SEGMENT P
ZZ93PA208509,2,3,ARCACHON,43,44,1 - SEGMENT P
ZZ94PA209559,2,3,ARCACHON,124,169,1 - SEGMENT P
ZZ93266386,2,3,ARCACHON,37,40,1 - SEGMENT P
ZZ83076652,2,3,ARCACHON,84,92,1 - SEGMENT P
ZZ726044410,2,3,ARCACHON,16,12,1 - SEGMENT P
ZZ745619710,2,3,ARCACHON,146,98,1 - SEGMENT P
ZZ88BA027594,2,3,ARCACHON,142,102,1 - SEGMENT P
ZZ895414047,2,3,ARCACHON,54,67,1 - SEGMENT P
ZZ94PA244394,2,3,ARCACHON,126,78,1 - SEGMENT P
05XA204766,2,3,ARCACHON,74,62,1 - SEGMENT P
ZZ735634180,2,3,ARCACHON,100,92,1 - SEGMENT P
ZZ88BA692699,2,3,ARCACHON,118,139,1 - SEGMENT P
ZZ845269316,2,3,ARCACHON,74,103,1 - SEGMENT P
ZZ95353168,2,3,ARCACHON,26,27,1 - SEGMENT P
ZZ746315360,2,3,ARCACHON,42,39,1 - SEGMENT P
ZZ85092026,2,3,ARCACHON,17,26,1 - SEGMENT P
ZZ73009370,2,3,ARCACHON,13,18,1 - SEGMENT P
ZZ90232882,2,3,ARCACHON,120,139,1 - SEGMENT P
ZZ88BA027593,2,3,ARCACHON,47,51,1 - SEGMENT P
ZZ8505468,2,3,ARCACHON,25,32,1 - SEGMENT P
ZZ90BA010862,2,3,ARCACHON,15,13,1 - SEGMENT P
98377494,2,3,ARCACHON,148,180,1 - SEGMENT P
ZZ83076617,2,3,ARCACHON,6,5,1 - SEGMENT P
ZZ88747873,2,3,ARCACHON,63,65,1 - SEGMENT P
ZZ77856662,2,3,ARCACHON,55,51,1 - SEGMENT P
ZZ174429018,2,3,ARCACHON,57,90,1 - SEGMENT P
ZZ88BA747871,2,3,ARCACHON,69,63,1 - SEGMENT P
ZZ77856661,2,3,ARCACHON,25,22,1 - SEGMENT P
ZZ83076616,2,3,ARCACHON,124,130,1 - SEGMENT P
ZZ91308313,2,3,ARCACHON,27,29,1 - SEGMENT P
ZZ94244461,2,3,ARCACHON,16,17,1 - SEGMENT P
ZZ91PA276475,2,3,ARCACHON,32,31,1 - SEGMENT P
ZZ8131242,2,3,ARCACHON,13,12,1 - SEGMENT P
ZZ90PA264747,2,3,ARCACHON,14,11,1 - SEGMENT P
F06XA202650,2,3,ARCACHON,24,64,1 - SEGMENT P
ZZ8705766,2,3,ARCACHON,70,64,1 - SEGMENT P
ZZ88BA748131,2,3,ARCACHON,39,53,1 - SEGMENT P
AA026540,2,4,ARCACHON,66,67,1 - SEGMENT P
02AA178100,2,4,ARCACHON,63,52,1 - SEGMENT P
ZZ88BA079188,2,4,ARCACHON,95,99,1 - SEGMENT P
88748087,2,4,ARCACHON,22,27,1 - SEGMENT P
F03XA667391,2,4,ARCACHON,24,30,1 - SEGMENT P
ZZ78053462,2,4,ARCACHON,110,114,1 - SEGMENT P
ZZ83604659,2,4,ARCACHON,70,69,1 - SEGMENT P
ZZ92PA266016,2,4,ARCACHON,79,69,1 - SEGMENT P
94228048,2,4,ARCACHON,144,90,1 - SEGMENT P
ZZ81302016,2,4,ARCACHON,20,20,1 - SEGMENT P
ZZ730075890,2,4,ARCACHON,80,78,1 - SEGMENT P
ZZ80004361,2,4,ARCACHON,86,120,1 - SEGMENT P
ZZ88BA027592,2,4,ARCACHON,0,35,1 - SEGMENT P
ZZ80024705,2,4,ARCACHON,7,10,1 - SEGMENT P
